Product,Revenue,CumPct,Category
Capt Morgan Spiced Rum,610008.34,0.018407357853365256,A
Jack Daniels No 7 Black,558064.03,0.035247265821346754,A
Absolut 80 Proof,422095.29,0.04798423766545299,A
Tito's Handmade Vodka,420186.25,0.06066360311283949,A
Ketel One Vodka,417950.58999999997,0.07327550621428748,A
Jameson Irish Whiskey,410287.84,0.08565618136008019,A
Grey Goose Vodka,394280.19,0.09755381631999376,A
Baileys Irish Cream,294738.43,0.10644772054784259,A
Kahlua,290933.11,0.11522679702270272,A
Jim Beam,255837.61,0.12294684629222531,A
Crown Royal,255560.12,0.13065852213896698,A
Smirnoff 80 Proof,251733.27,0.13825472055239818,A
Bacardi Superior Rum Trav,201995.94999999998,0.14435006629239328,A
Tanqueray,200893.36,0.150412140735318,A
Fireball Cinnamon Whisky,190941.48,0.15617391138817693,A
Jose Cuervo Especial,185760.84,0.16177935320397527,A
Jagermeister Liqueur,179902.7,0.16720802222460968,A
Johnnie Walker Red Label,179553.0,0.1726261388435485,A
Patron Silver Tequila,178902.73,0.17802463318553405,A
Makers Mark,178747.63,0.18341844729445414,A
Bacardi Superior Rum,175642.79,0.18871857104340728,A
Canadian Club,163104.13,0.1936403334053314,A
Pinnacle Vodka,158958.13,0.19843698779633817,A
Three Olives Vodka,157611.94999999998,0.2031930204197884,A
Dewars White Label,149946.08,0.2077177309397615,A
Bombay Sapphire Gin,140835.77,0.21196753253582531,A
Johnnie Walker Black Label,138452.69,0.21614542330136968,A
Grand Marnier,131064.36,0.22010036689499712,A
Stolichnaya,130061.04999999999,0.22402503502352536,A
Svedka Vodka,125700.48999999999,0.2278181207078512,A
Jack Daniels Tennessee Honey,124491.14,0.23157471354976772,A
The Glenlivet 12 Yr Single,122286.95,0.23526479367137162,A
Smirnoff Traveler,119759.43,0.23887860440111516,A
Clos du Bois Chard,113306.85,0.2422977047615915,A
New Amsterdam Vodka,112667.0,0.24569749727469894,A
Malibu Rum,111849.62,0.24907262486902482,A
Skyy Vodka,110705.64,0.252413232198862,A
Kendall Jackson Chard Vt RSV,109159.42,0.255707181437336,A
Josh Cellars Cab Svgn Sonoma,108554.52,0.258982877465099,A
Jim Beam Traveler,107513.04999999999,0.26222714652748064,A
Southern Comfort,102739.12999999999,0.2653273597662921,A
Knob Creek Bourbon,102728.9,0.26842726430888014,A
Amaretto DiSaronno,101490.05,0.27148978582933336,A
Bulleit Bourbon,96028.97,0.2743875160719725,A
Simi Chard,93369.42,0.2772049928404068,A
Dr McGillicuddy's Mentholmnt,92480.12,0.27999563446206416,A
Black Velvet Canadian Whisky,91191.42,0.2827473888087286,A
Beefeater,90803.53,0.2854874383481476,A
J Lohr Riverstone Chard,88584.44,0.28816052555105365,A
Platinum 7X Distilled Vodka,84599.7,0.2907133708977047,A
Zhenka 80 Proof,82317.6,0.2931973525443002,A
Stolichnaya Razberi,81550.23999999999,0.2956581786548216,A
Canadian Ltd,78667.0,0.2980320013147719,A
Cointreau Liqueur,78528.41,0.3004016419405473,A
Hornitos Reposado Tequila,77118.44,0.30272873589826804,A
Apothic Winemakers Red Blend,75034.89,0.30499295751811983,A
Bulleit 95 Rye,74571.44,0.3072431942636056,A
Smirnoff Raspberry Vodka,73845.41,0.30947152262990046,A
Absolut Citron,73739.5,0.3116966551001028,A
Seagrams VO,71172.2,0.3138443177937166,A
Sailor Jerry Spiced Navy Rum,70624.75,0.31597546086391537,A
Moet & Chandon Nectar Imp Rs,69002.22,0.3180576431439423,A
Cavit Pinot Grigio,68581.66,0.3201271347803974,A
Ciroc Apple Vodka,68344.28,0.3221894633367423,A
Seagrams 7 Crown,68275.83,0.3242497263743682,A
Gentleman Jack,67417.66,0.3262840936311446,A
R M Woodbridge Chard Cal,66131.78,0.3282796587080746,A
Jose Cuervo Especial Silver,65423.329999999994,0.33025384589257895,A
MezzaCorona Pnt Grigio,65371.56,0.33222647088710405,A
Mark West Pnt Nr Sonoma,64836.89,0.3341829619021765,A
Veuve Clicquot Brut Yellow,63173.31,0.3360892534193574,A
J Lohr Seven Oaks Cab Svgn,61651.32,0.33794961799957335,A
Chivas Regal,60591.42,0.3397779994783964,A
Hendrick's Gin,60589.689999999995,0.34160632875345914,A
Burnetts Vodka,59078.340000000004,0.3433890521597699,A
Evan Williams Black Label B,58046.649999999994,0.34514064371791003,A
Hornitos Plata Tequila,57946.549999999996,0.3468892147001001,A
Crown Royal Regal Apple,57376.88,0.3486205955574005,A
Gordons Vodka 80 Proof,57324.87,0.3503504069825814,A
Woodford Reserve Bourbon,55471.86,0.35202430274900937,A
Santa Margherita Pnt Grigio,55113.56,0.3536873866037202,A
Gordons London Dry,55068.15,0.3553491001851653,A
Kamora Coffee,54146.32,0.3569829970080888,A
Jenkins Vodka,54012.14,0.3586128448711624,A
Sambuca Romana,53903.719999999994,0.3602394210974278,A
Phillips Seven Deadly Znfdl,51190.85,0.3617841348873539,A
Courvoisier VS Cognac,51055.61,0.36332476773131117,A
Moet & Chandon Imperial,50835.630000000005,0.3648587625503185,A
Fleischmanns Royal Vodka,47546.2,0.36629349689832374,A
Bentley's Vodka,47492.369999999995,0.3677266068946468,A
Simi Cab Svgn,46523.13,0.36913046950801476,A
Myers Original Dark Rum,46301.8,0.37052765335939447,A
Kraken Black Spiced Rum,44564.31,0.37187240743547534,A
R M Woodbridge Cab Svgn Cal,44447.57,0.3732136388138898,A
Rumpleminze,44444.71,0.37455478389013425,A
RumChata Liqueur,43679.57,0.3758728404201009,A
Sterling Vintners Cab Svgn C,42906.98,0.3771675835956896,A
Allens Coffee Brandy,42813.05,0.37845949237868104,A
Yukon Jack,42429.63,0.3797398312392873,A
Jack Daniels Tennesse Fire,41878.13,0.3810035282653636,A
Glenfiddich Special Rsv 12,41442.009999999995,0.3822540651157823,A
New Amsterdam Gin,41369.35,0.3835024094082736,A
Belvedere Polish Vodka,41313.39,0.38474906507508905,A
Carpineto Dogajolo Tuscan Rd,40570.69,0.3859733093357297,A
1800 Silver Tequila,40491.97,0.3871951781744045,A
Capt Morgan Spiced Rum 100,40405.39,0.3884144344110238,A
Banfi Chianti Clsc RSV,40095.58,0.38962434194999,A
Caymus Cab Svgn Napa Vly,39733.42,0.390823321099485,A
Wild Turkey 101,39422.18,0.39201290840024183,A
Menage a Trois Red,39157.16,0.3931944985677492,A
Gilbeys London Dry,38974.67,0.39437058199294767,A
Franzia Tap Chard,38858.01,0.39554314513452643,A
Capt Morgan Private Stock,38333.020000000004,0.3966998663963049,A
Sebastiani Znfdl Sonoma Cnty,38331.63,0.3978565457140218,A
Josh Cellars Chard,38294.520000000004,0.3990121052158195,A
Canadian Mist,37761.590000000004,0.4001515832436806,A
Bacardi Oakheart Spiced Rum,37749.71,0.4012907027856049,A
Sterling Vintners Cltn Chard,37598.02,0.4024252449932048,A
Ryans Irish Cream,37436.33,0.4035549081106414,A
Luksusowa Potato Vodka,37300.2,0.4046804634258393,A
Johnnie Walker Blue Label,37268.520000000004,0.4058050627785388,A
Cecchi Sangiovese,37033.31,0.40692256453214537,A
Remy Martin VSOP Cognac,36816.31,0.40803351818404204,A
Fireball Cinnamon Whiskey,36743.22,0.40914226630251027,A
Goslings Black Seal Bermuda,36643.369999999995,0.4102480013889244,A
Mount Gay Eclipse,36413.17,0.41134679005592106,A
The Macallan 12 Yr Old,36350.46,0.4124436864120503,A
DeKuyper Triple Sec,36100.61,0.413533043398538,A
Hennessy Privilege VSOP,35870.15,0.4146154461199564,A
Glen Ellen Chard RSV,35725.86,0.4156934948063714,A
Pinnacle Whipped Vodka,35651.85,0.4167693101978208,A
Oyster Bay Svgn Bl Marlboro,35305.31,0.41783466854241985,A
Basil Hayden Bourbon,35017.0,0.41889132696441994,A
Bombay Dry Gin,34485.9,0.41993195913380205,A
Belvedere Vodka,34178.26,0.4209633080865481,A
Meiomi Pnt Nr,34144.11,0.42199362654310335,A
Alamos Ridge Malbec Mendoza,34131.41,0.42302356176974293,A
E & J Brandy VS,33961.28,0.4240483632242908,A
Ciroc Snap Frost Vodka,33924.7,0.425072060855979,A
Ciroc Red Berry Vodka,33627.27,0.42608678336374295,A
